387,yes,0,0,2025-07-09
138,yes,0,0,2025-07-09
139,yes,0,0,2025-07-09
1804,yes,0,0,2025-07-09
909,yes,0,0,2025-07-09
1421,yes,0,0,2025-07-09
911,yes,0,0,2025-07-09
144,yes,0,0,2025-07-09
1680,yes,0,0,2025-07-09
914,yes,0,0,2025-07-09
1681,yes,0,0,2025-07-09
1812,yes,0,0,2025-07-09
524,yes,0,0,2025-07-09
279,yes,0,0,2025-07-09
538,yes,0,0,2025-07-09
1948,yes,0,0,2025-07-09
159,yes,0,0,2025-07-09
1697,yes,0,0,2025-07-09
161,yes,0,0,2025-07-09
296,yes,0,0,2025-07-09
425,yes,0,0,2025-07-09
427,yes,0,0,2025-07-09
816,yes,0,0,2025-07-09
435,yes,0,0,2025-07-09
1715,yes,0,0,2025-07-09
952,yes,0,0,2025-07-09
953,yes,0,0,2025-07-09
63,yes,0,0,2025-07-09
455,yes,0,0,2025-07-09
72,yes,0,0,2025-07-09
206,yes,0,0,2025-07-09
847,yes,0,0,2025-07-09
1360,yes,0,0,2025-07-09
1034,yes,0,0,2025-07-09
1108,yes,0,0,2025-07-09
474,yes,0,0,2025-07-09
1505,yes,0,0,2025-07-09
738,yes,0,0,2025-07-09
228,yes,0,0,2025-07-09
617,yes,0,0,2025-07-09
877,yes,0,0,2025-07-09
238,yes,0,0,2025-07-09
1775,yes,0,0,2025-07-09
1390,yes,0,0,2025-07-09
1778,yes,0,0,2025-07-09
1779,yes,0,0,2025-07-09
1913,yes,0,0,2025-07-09
1019,yes,0,0,2025-07-09
893,yes,0,0,2025-07-09
1152,yes,0,0,2025-07-09
1922,yes,0,0,2025-07-09
1159,yes,0,0,2025-07-09
777,yes,0,0,2025-07-09
1303,yes,0,0,2025-07-09
557,yes,0,0,2025-07-09
1197,yes,0,0,2025-07-09
61,yes,0,0,2025-07-09
1728,yes,0,0,2025-07-09
1617,yes,0,0,2025-07-09
208,yes,0,0,2025-07-09
340,yes,0,0,2025-07-09
1620,yes,0,0,2025-07-09
1238,yes,0,0,2025-07-09
603,yes,0,0,2025-07-09
487,yes,0,0,2025-07-09
359,yes,0,0,2025-07-09
874,yes,0,0,2025-07-09
107,yes,0,0,2025-07-09
1514,yes,0,0,2025-07-09
1519,yes,0,0,2025-07-09
372,yes,0,0,2025-07-09
1525,yes,0,0,2025-07-09
879,yes,0,0,2025-07-09

83,no,0,0,2025-07-09